"No.","Time","Source","Destination","Protocol","Info"
"1636","49.309824","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=64534 Ack=5612 Win=19968 Len=1348 TSV=281409167 TSER=2119641"
"1637","49.309848","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=65882 Win=64128 Len=0 TSV=2119686 TSER=281409167"
"1638","49.310829","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=65882 Ack=5612 Win=19968 Len=1348 TSV=281409167 TSER=2119641"
"1639","49.323779","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=67230 Ack=6198 Win=21120 Len=0 TSV=281409176 TSER=2119651"
"1643","49.347210","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=67230 Win=64128 Len=0 TSV=2119696 TSER=281409167"
"1653","49.539858","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=67230 Ack=6198 Win=21120 Len=1348 TSV=281409223 TSER=2119696"
"1654","49.539888","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=68578 Win=64128 Len=0 TSV=2119744 TSER=281409223"
"1655","49.539970","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=68578 Ack=6198 Win=21120 Len=1348 TSV=281409223 TSER=2119696"
"1656","49.539981","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=69926 Win=62848 Len=0 TSV=2119744 TSER=281409223"
"1657","49.540084","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=69926 Ack=6198 Win=21120 Len=1348 TSV=281409223 TSER=2119696"
"1658","49.540094","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=71274 Win=61568 Len=0 TSV=2119744 TSER=281409223"
"1663","49.928822","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=71274 Ack=6198 Win=21120 Len=1348 TSV=281409268 TSER=2119744"
"1664","49.928842","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=72622 Win=64128 Len=0 TSV=2119841 TSER=281409268"
"1665","49.928931","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=72622 Ack=6198 Win=21120 Len=1348 TSV=281409268 TSER=2119744"
"1666","49.928942","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=73970 Win=62848 Len=0 TSV=2119841 TSER=281409268"
"1667","49.929050","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=73970 Ack=6198 Win=21120 Len=1348 TSV=281409268 TSER=2119744"
"1668","49.929061","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=75318 Win=61568 Len=0 TSV=2119841 TSER=281409268"
